EMPLOYERCODE,NAME,CHECKOFFPERIOD,totalamount,CHECKOFFBATCHNO,SchedulePortalAmount,DOCUMENTNO
EMP11926,Kenya Revenue Authority,Dec-19,4041224.85,CHOF-194332,4041224.85,HELB-000193332
EMP11513,The Co-operative Bank Of Kenya Limited,Oct-19,2672194.03,CHOF-183763,2667897.03,HELB-000183720
EMP11513,The Co-operative Bank Of Kenya Limited,Nov-19,1394735.26,CHOF-187409,2605479.77,HELB-000188186
EMP89771,County Government Of Nandi,Nov-19,1345069.5,CHOF-190700,1296218.2,HELB-000192545
EMP13398,Safaricom Ltd,Nov-19,1284626.82,CHOF-190123,2290532.02,HELB-000191658
EMP86378,County Government Of Kisii,Dec-19,786125.2,CHOF-193620,2107920.9,HELB-000192812
EMP10146,Judicial Department & The High Court Of Kenya,Dec-19,755276.95,CHOF-193735,750390.95,HELB-000193522
EMP10146,Judicial Department & The High Court Of Kenya,Nov-19,755276.95,CHOF-193753,750390.95,HELB-000190662
EMP10823,Jomo Kenyatta University Of Agriculture & Technology,Dec-19,679409.4,CHOF-193623,974732.5,HELB-000196432
EMP10731,Kpmg Kenya,Dec-19,626465,CHOF-193622,1216949.4,HELB-000194813
EMP11922,Kenya Airways,Dec-19,527732.25,CHOF-193621,1031009.2,HELB-000193749
EMP11242,Sidian Bank Formerly K-rep Bank Limited,Oct-19,419671.7,CHOF-184492,419671.7,HELB-000184420
EMP10582,Pricewaterhousecoopers-kenya (pwc),Dec-19,375958,CHOF-193733,375958,HELB-000192818
EMP11247,World Vision International - Kenya Office,Dec-19,332266.71,CHOF-193629,332266.71,HELB-000193186
EMP1003907,OMERIYE LIMITED,Dec-19,311683,CHOF-193040,935049,HELB-000196369
EMP41855,Kenya Hospital Association,Oct-19,304424.1,CHOF-185812,304424.1,HELB-000186616
EMP11305,Faulu Kenya Ltd.,Dec-19,298887.3,CHOF-193628,294997.3,HELB-000193179
EMP21614,Chuka University,Nov-19,283053,CHOF-189373,322778,HELB-000190232
EMP10894,Nation Media Group Limited,Dec-19,278332,CHOF-193642,53337,HELB-000195098
EMP11303,"Ministry Of Land, Housing & Urban Developmet",Dec-19,261775.7,CHOF-193755,261775.7,HELB-000192869
EMP1000305,ASA Limited,Dec-19,261720.97,CHOF-191931,261720.97,HELB-000194320
EMP1000305,ASA Limited,Nov-19,251939.97,CHOF-188976,251939.97,HELB-000189758
EMP10709,Sai Pharmaceuticals Ltd.,Dec-19,250235.6,CHOF-191945,250235.6,HELB-000194348
