ACCOUNTNUM,PERIOD,AMOUNTRECEIVED,CHECKOFFBATCHNO,CHECKOFFPERIOD,AMOUNT
EMP13398,Nov-19,2472581.4,CHOF-190123,Nov-19,1284626.82
EMP89771,Nov-19,1361421.4,CHOF-190700,Nov-19,1345069.5
EMP1000305,Dec-19,832726.34,CHOF-191931,Dec-19,261720.97
EMP86378,Dec-19,789363.2,CHOF-193620,Dec-19,786125.2
EMP10146,Nov-19,755276.95,CHOF-193753,Nov-19,755276.95
EMP10146,Dec-19,742699.95,CHOF-193735,Dec-19,755276.95
EMP10823,Dec-19,679409.4,CHOF-193623,Dec-19,679409.4
EMP1000305,Nov-19,545498.34,CHOF-188976,Nov-19,251939.97
EMP11922,Dec-19,527732.25,CHOF-193621,Dec-19,527732.25
EMP11242,Oct-19,419671.7,CHOF-184492,Oct-19,419671.7
EMP11247,Dec-19,332265.9,CHOF-193629,Dec-19,332266.71
EMP21614,Nov-19,325090,CHOF-189373,Nov-19,283053
EMP1003907,Dec-19,311683,CHOF-193040,Dec-19,311683
EMP41855,Oct-19,304424.1,CHOF-185812,Oct-19,304424.1
EMP22212,Dec-19,303672.35,CHOF-193630,Dec-19,232172.35
EMP11305,Dec-19,298887.3,CHOF-193628,Dec-19,298887.3
EMP10894,Dec-19,278332,CHOF-193642,Dec-19,278332
EMP10709,Dec-19,250235.6,CHOF-191945,Dec-19,250235.6
EMP93701,Nov-19,249456,CHOF-191715,Nov-19,239006.76
EMP10709,Oct-19,246327,CHOF-184826,Oct-19,246326.82
EMP93701,Dec-19,237350,CHOF-192238,Dec-19,234961.76
EMP25130,Nov-19,230910.6,CHOF-193949,Nov-19,230910.6
EMP36198,Dec-19,227206,CHOF-193639,Dec-19,227206
EMP28525,Dec-19,225302.3,CHOF-192833,Dec-19,200448.3
EMP1006928,Dec-19,202192,CHOF-192409,Dec-19,202192
EMP152453,Nov-19,168500,CHOF-188698,Nov-19,115802
EMP152453,Nov-19,168500,CHOF-194121,Nov-19,168500
EMP152453,Dec-19,166220,CHOF-192798,Dec-19,66848
EMP63497,Nov-19,161977.3,CHOF-193650,Nov-19,161977.3
EMP15422,Oct-19,155745,CHOF-185810,Oct-19,155745
EMP15422,Nov-19,149081,CHOF-190203,Nov-19,149081
EMP11581,Oct-19,142717,CHOF-185638,Oct-19,131597
EMP15422,Dec-19,140414,CHOF-192672,Dec-19,140414
EMP66216,Nov-16,135905,CHOF-019077,Oct-16,27709.6
EMP133162,Sep-19,135505,CHOF-193645,Sep-19,134539
EMP11295,Oct-19,134539,CHOF-185833,Oct-19,134539
EMP11402,Dec-19,131629.8,CHOF-193736,Dec-19,106874.8
EMP11402,Dec-19,131629.8,CHOF-193756,Dec-19,131629.8
EMP133162,Oct-19,131357,CHOF-193646,Oct-19,134539
EMP133162,Dec-19,130245,CHOF-193647,Dec-19,130245
EMP133162,Dec-19,130245,CHOF-193648,Dec-19,134539
EMP133162,Dec-19,130245,CHOF-193649,Dec-19,134539
EMP11539,Nov-19,127739.27,CHOF-189971,Nov-19,127739.27
EMP27929,Oct-19,124263,CHOF-186284,Oct-19,118830
EMP94401,Dec-19,117590.2,CHOF-192582,Dec-19,90141.61
EMP1003559,Dec-19,108550,CHOF-191939,Dec-19,108550
EMP120483,Oct-19,108446.9,CHOF-185838,Oct-19,108446.9
EMP120483,Sep-19,108446.9,CHOF-181849,Sep-19,108446.9
EMP11666,Dec-19,100650,CHOF-193034,Dec-19,51624
EMP11666,Dec-19,100650,CHOF-193035,Dec-19,100559.19
EMP1003822,Oct-19,98652,CHOF-186585,Oct-19,98652
EMP42648,Oct-19,96661.3,CHOF-193618,Oct-19,96661.3
EMP42648,Oct-19,96661.3,CHOF-193619,Oct-19,96661.3
EMP100495,Dec-19,95204,CHOF-191938,Dec-19,95204
EMP11474,Dec-19,91945.45,CHOF-190990,Dec-19,91945.45
EMP11474,Nov-19,91945.45,CHOF-189294,Nov-19,91945.45
EMP76191,Oct-19,90002.5,CHOF-186006,Oct-19,90002.5
EMP99962,Dec-19,88570.75,CHOF-194334,Dec-19,88570.75
EMP94401,Oct-19,76906.5,CHOF-185305,Oct-19,76906.5
EMP94401,Oct-19,76906.5,CHOF-185306,Oct-19,76906.5
EMP11866,Nov-19,75753,CHOF-194178,Nov-19,2975
EMP1000951,Oct-19,71855,CHOF-185741,Oct-19,71855
EMP1000951,Oct-19,71855,CHOF-185742,Oct-19,71855
EMP22059,Dec-19,71600,CHOF-194337,Dec-19,71600
EMP11554,Dec-19,69488.7,CHOF-193187,Dec-19,69089
EMP14567,Dec-19,64844.2,CHOF-193490,Dec-19,64844.2
EMP11537,Nov-19,59672.35,CHOF-189374,Nov-19,59672.32
EMP41711,Oct-16,57666,CHOF-037911,Oct-16,121226.2
EMP73336,Dec-19,56521,CHOF-191942,Dec-19,56521
EMP73336,Oct-19,56521,CHOF-186000,Oct-19,56521
EMP11220,Dec-19,54166.4,CHOF-194336,Dec-19,54166.4
EMP11220,Nov-19,54166.4,CHOF-194330,Nov-19,54166.4
EMP11220,Nov-19,54166.4,CHOF-194331,Nov-19,54166.4
EMP11220,Oct-19,54166.4,CHOF-194326,Oct-19,54166.4
EMP11220,Oct-19,54166.4,CHOF-194327,Oct-19,54166.4
EMP11908,Sep-19,53479.9,CHOF-180626,Sep-19,53479.9
EMP36388,Dec-19,49380,CHOF-191822,Dec-19,49380
EMP36388,Nov-19,49380,CHOF-189743,Nov-19,49380
EMP1003400,Nov-19,47381,CHOF-190545,Nov-19,47381
EMP1006902,Oct-19,46980,CHOF-186165,Oct-19,46980
EMP28143,Oct-19,44829.9,CHOF-186112,Oct-19,44829.9
EMP10582,Dec-19,42230,CHOF-193733,Dec-19,375958
EMP15685,Dec-19,40473,CHOF-192780,Dec-19,40473
EMP14236,Oct-19,39856,CHOF-185278,Oct-19,39856
EMP106106,Dec-19,39724.6,CHOF-191946,Dec-19,39724.6
EMP13858,Oct-19,38929.3,CHOF-184494,Oct-19,38929.3
EMP131573,Dec-19,37788.7,CHOF-191943,Dec-19,37788.7
EMP131573,Nov-19,37788.7,CHOF-187660,Nov-19,37788.7
EMP131573,Sep-19,37788.7,CHOF-181680,Sep-19,37788.7
EMP27002,Nov-19,35999,CHOF-187871,Nov-19,35999
EMP1004751,Dec-19,34446,CHOF-191223,Dec-19,34446
EMP1004070,Oct-19,34440,CHOF-186327,Oct-19,7500
EMP20740,Nov-19,33905,CHOF-188689,Nov-19,33905
EMP19947,Oct-19,33683.3,CHOF-185066,Oct-19,33683.3
EMP20625,Nov-19,33629.6,CHOF-188687,Nov-19,33629.6
EMP26813,Nov-19,32379.1,CHOF-189735,Nov-19,32379.1
EMP11303,Dec-19,30822.5,CHOF-193755,Dec-19,261775.7
EMP112015,Dec-19,29842,CHOF-192028,Dec-19,29842
EMP1002989,Oct-19,29500,CHOF-185455,Oct-19,29508
EMP18620,Dec-19,27844,CHOF-191951,Dec-19,27844
EMP1003018,Oct-18,27781,CHOF-194316,Oct-18,27781
EMP1003018,Oct-18,27781,CHOF-194317,Oct-18,27781
EMP1003018,Sep-18,27781,CHOF-194314,Sep-18,27781
EMP1003018,Sep-18,27781,CHOF-194315,Sep-18,27781
EMP1003018,Sep-19,27781,CHOF-194324,Sep-19,27781
EMP1003018,Sep-19,27781,CHOF-194325,Sep-19,27781
EMP11543,Aug-19,27781,CHOF-194322,Aug-19,27781
EMP11543,Aug-19,27781,CHOF-194323,Aug-19,27781
